Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Booster_Doses_Vax_Pct,Census2019_5PlusPop
Sabine Parish,LA,46.1,39.6,38.5,22514
St. Bernard Parish,LA,57.2,50.4,39,43915
St. Charles Parish,LA,65.1,58,42.8,49915
St. Helena Parish,LA,36.2,32.2,45.8,9576
St. James Parish,LA,62.8,52.8,45,19792
St. John the Baptist Parish,LA,71.1,61.5,42,40059
St. Landry Parish,LA,48.7,43,45.1,76109
St. Martin Parish,LA,45.8,41.1,41.4,49906
St. Mary Parish,LA,52.6,46.1,40.5,45961
St. Tammany Parish,LA,64.9,58.2,44.4,245044
Tangipahoa Parish,LA,54.1,47.8,40.6,125146
Tensas Parish,LA,75.2,64.2,39.7,4080
Terrebonne Parish,LA,54.1,46.6,37.9,102851
Union Parish,LA,52,46.6,42.9,20845
Unknown County,LA,,,29.9,
Vermilion Parish,LA,44.3,39.2,40.1,55640
Vernon Parish,LA,69.2,60,31.8,43550
Washington Parish,LA,48.5,43,45.1,43106
Webster Parish,LA,49.7,44.1,44.5,35989
West Baton Rouge Parish,LA,60.8,54.9,41.9,24617
West Carroll Parish,LA,46.2,41.6,39.6,10271
West Feliciana Parish,LA,95,90.4,58.3,14919
Winn Parish,LA,54.7,48.9,32.3,13099
Barnstable County,MA,,,,205144
Berkshire County,MA,79.8,63,68.3,119796
Bristol County,MA,85.8,69.7,50.1,535517
Dukes County,MA,,,,16489
Essex County,MA,95,78,56.3,744724
Franklin County,MA,92.9,73,61.8,67268
Hampden County,MA,86.3,69.4,50.7,441055
Hampshire County,MA,88.6,71.3,65.5,155521
Middlesex County,MA,95,84.4,60.8,1527211
Nantucket County,MA,,,,10647
Norfolk County,MA,95,83.8,62.1,669174
Plymouth County,MA,89.7,74.6,56.1,493643
Suffolk County,MA,95,77.2,54,762538
Unknown County,MA,,,39.9,
Worcester County,MA,92.4,73.9,55.7,786414
Allegany County,MD,64.2,57.3,53.6,67223
Anne Arundel County,MD,90.5,80.2,55.7,543689
Baltimore city,MD,76.9,67.4,54,556907
Baltimore County,MD,83.5,75.4,59,778563
Calvert County,MD,82.1,73.4,55.3,87590
Caroline County,MD,64.1,58.7,51.5,31359
Carroll County,MD,81.9,74.4,58.5,159220
Cecil County,MD,73.6,61,44.1,97028
Charles County,MD,84.3,73.6,51.1,153632
Dorchester County,MD,68,61.4,55.2,30156
Frederick County,MD,91.6,81.8,58.4,244221
Garrett County,MD,60.1,52.7,53.2,27634
Harford County,MD,80.6,72.4,56.6,241046
Howard County,MD,95,89.9,64.8,306568
Kent County,MD,77.4,67.9,59.8,18644
Montgomery County,MD,95,92.6,60.3,986188
Prince George's County,MD,93.3,78.5,49.3,850033
Queen Anne's County,MD,77.6,69.7,57,47818
Somerset County,MD,58.6,51.8,53.3,24449
St. Mary's County,MD,77.3,68.5,50.9,106387
Talbot County,MD,85.5,76.3,61.5,35447
Unknown County,MD,,,35.3,
Washington County,MD,68.8,61.7,54.1,142499
Wicomico County,MD,64.9,57.8,52.4,97312
Worcester County,MD,85.2,74.5,53.7,50130
Androscoggin County,ME,83.1,72.8,55.7,102040
Aroostook County,ME,77.9,71.2,59.7,63855
Cumberland County,ME,95,92,66.3,280996
Franklin County,ME,76.3,66.8,62.3,28887
Hancock County,ME,91.8,80.3,64.9,52623
Kennebec County,ME,86.8,74.8,58.7,116283
Knox County,ME,95,87.4,67,38116
Lincoln County,ME,93.7,84.3,67.1,33085
Oxford County,ME,82.5,71,56.7,55479
Penobscot County,ME,84.5,73.9,58.5,145062
Piscataquis County,ME,69.7,64,60.8,16075
Sagadahoc County,ME,93.5,83.3,64.9,34130
Somerset County,ME,71.7,64.1,58.2,48111
Unknown County,ME,,,28.7,
Waldo County,ME,85,74.1,62,37981
Washington County,ME,86,75.4,56.1,29936
York County,ME,95,83,58.7,198016
Unknown County,MH,,,43.3,
Alcona County,MI,60.3,59.4,59.3,10098
Alger County,MI,68,64,60.6,8764
Allegan County,MI,53.6,53.6,59.9,110914
Alpena County,MI,57.1,56.8,59.8,27012
Antrim County,MI,62.6,59.5,60.6,22350
Arenac County,MI,53.9,52,58.8,14198
Baraga County,MI,68.9,62.7,47.4,7888
Barry County,MI,51,50.6,60.2,58176
Bay County,MI,59.7,58.4,57.6,98007
Benzie County,MI,67.3,64.2,62.1,16966
Berrien County,MI,62.9,58.1,52.4,144729
Branch County,MI,48.4,46.4,52.8,40880
Calhoun County,MI,54,53.6,54.8,126128
Cass County,MI,51.3,45.3,45.3,49229
Charlevoix County,MI,67.6,65.9,61.3,25003
Cheboygan County,MI,59.3,57.6,57.5,24231
Chippewa County,MI,76.5,71.6,49.8,35639
Clare County,MI,48.1,47.1,57.4,29278
Clinton County,MI,59.6,59.2,64.5,75233
Crawford County,MI,53.1,52.3,58.1,13327
Delta County,MI,66.1,63.7,54.4,33999
Dickinson County,MI,76.6,69.2,50,23943
Eaton County,MI,59.1,58.2,61.7,104447
Emmet County,MI,76.2,74.1,60.2,31891
Genesee County,MI,53.1,51.4,55,382027
Gladwin County,MI,50.1,48.7,58.3,24096
Gogebic County,MI,71.1,66.5,55.9,13362
Grand Traverse County,MI,70.7,67.9,60.5,88301
Gratiot County,MI,47.1,46.9,57.4,38732
Hillsdale County,MI,41.1,39.6,52.6,43024
Houghton County,MI,55.4,54.2,58.2,33795
Huron County,MI,56.1,55.3,60.2,29398
Ingham County,MI,60.7,58.4,62.8,276229
Ionia County,MI,,48.1,56.9,60993
Iosco County,MI,59.5,57.1,54.6,23958
Iron County,MI,60.9,57.2,56.2,10592
Isabella County,MI,46.9,45.7,58.4,66591
Jackson County,MI,53.5,53.5,57.2,149470
Kalamazoo County,MI,63.6,63.4,63.5,249419
Kalkaska County,MI,49.3,47.3,55.6,17118
Kent County,MI,,63.2,59.2,613463
Keweenaw County,MI,63.8,60.3,62.8,2042
Lake County,MI,67.2,65.5,46.5,11296
Lapeer County,MI,49.6,48,54.7,83505
Leelanau County,MI,89.1,83.6,59.5,20859
Lenawee County,MI,56.9,54.2,53.9,93247
Livingston County,MI,62,61.3,59.2,182412
Luce County,MI,48.4,45.6,57.8,5949
Mackinac County,MI,84.4,76.2,50.5,10361
Macomb County,MI,58.8,57.6,53.8,826447
Manistee County,MI,61.8,61.3,61.8,23506
Marquette County,MI,68.2,66.3,63.9,63610
Mason County,MI,,62.2,61.8,27595
Mecosta County,MI,,43.3,59.4,41341
Menominee County,MI,71.1,59.8,44.6,21795
Midland County,MI,61.9,60.4,60.7,78626
Missaukee County,MI,,49.5,55.6,14173
Monroe County,MI,63.9,59.1,48.7,142743
Montcalm County,MI,,43.4,57,60304
Montmorency County,MI,56.7,55.4,58.6,9004
Muskegon County,MI,,56.3,59.3,163002
Newaygo County,MI,,45.7,56.4,46176
Oakland County,MI,70.5,67.6,60.1,1190128
Oceana County,MI,,56.3,57.8,25056
Ogemaw County,MI,47.4,46.4,57.8,20014
Ontonagon County,MI,76.5,71.4,63.3,5570
Osceola County,MI,43.1,42.9,58.6,22167
Oscoda County,MI,45.5,42.4,57.6,7805
Otsego County,MI,58.2,56.5,57.2,23380
Ottawa County,MI,59.4,59.2,60.8,274182
Presque Isle County,MI,62.3,61.2,63.8,12091
Roscommon County,MI,59.2,57.4,63,23136
Saginaw County,MI,54.5,54,56.5,179482
Sanilac County,MI,44.5,43.3,56.1,38996
Schoolcraft County,MI,57.6,57.1,60.9,7745
Shiawassee County,MI,53.1,52.2,58.3,64572
St. Clair County,MI,51.8,50.1,52.4,151311
St. Joseph County,MI,47.7,45.8,50.5,57084
Tuscola County,MI,47.8,46.7,55.8,49509
Unknown County,MI,,,68.1,
Van Buren County,MI,,58.8,59.3,71136
Washtenaw County,MI,77.1,73.4,63.4,349901
Wayne County,MI,58.6,55.4,53.2,1634690
Wexford County,MI,52.4,52.4,59.1,31569
Aitkin County,MN,64.8,60.5,67.6,15304
Anoka County,MN,65.5,61.6,65.5,334619
Becker County,MN,62.5,56.6,58.9,32303
Beltrami County,MN,79.1,71.6,61.3,43912
Benton County,MN,48.9,45.5,68.2,37996
Big Stone County,MN,69.4,65.5,59.6,4692
Blue Earth County,MN,66.4,62.6,58.5,64003
Brown County,MN,70.1,67.3,60.9,23608
Carlton County,MN,71.5,66.7,66.1,33985
Carver County,MN,74.4,69.7,66.3,98462
Cass County,MN,65.8,59.2,62.6,28246
Chippewa County,MN,59.3,55.7,65.7,10984
Chisago County,MN,63.6,59.3,57.5,53240
Clay County,MN,82.7,65,43.4,59657
Clearwater County,MN,46.3,43,56.1,8260
Cook County,MN,89.8,83,68.2,5237
Cottonwood County,MN,61.2,57.5,56.8,10455
Crow Wing County,MN,62.3,58.2,63.2,61526
Dakota County,MN,77.8,72.2,66.6,401596
Dodge County,MN,64.8,62.1,61.8,19654
Douglas County,MN,63.2,59.2,65.4,35904
Faribault County,MN,61.7,58.7,60.3,12867
Fillmore County,MN,75.9,70.7,54.3,19713
Freeborn County,MN,63,59.4,62.4,28615
Goodhue County,MN,72.6,68.4,64.9,43720
Grant County,MN,59.6,56.7,58.8,5633
Hennepin County,MN,84.5,77.3,65.8,1185711
Houston County,MN,73.4,62.7,41.3,17560
Hubbard County,MN,53.4,49.2,67.6,20360
Isanti County,MN,47.9,44.5,63.3,38176
Itasca County,MN,62.2,58.1,64.9,42756
Jackson County,MN,57.3,52.8,60.2,9307
Kanabec County,MN,47.3,44.2,70.5,15409
Kandiyohi County,MN,60.7,56.3,62.9,40256
Kittson County,MN,68.8,61.9,61.4,4050
Koochiching County,MN,63.7,60.2,64.8,11713
Lac qui Parle County,MN,63.5,60.7,67.9,6303
Lake County,MN,71,68.1,67.8,10126
Lake of the Woods County,MN,60.6,56.8,59,3561
Le Sueur County,MN,53.7,50.8,73.1,27100
Lincoln County,MN,58.3,55.5,61.5,5288
Lyon County,MN,62.1,58.4,53.2,23632
Mahnomen County,MN,72.5,62.8,50.8,5050
Marshall County,MN,56.2,51.2,51.5,8754
Martin County,MN,60.6,57,61.6,18539
McLeod County,MN,63.3,59.4,59.3,33840
Meeker County,MN,52.4,49.4,63.3,21798
Mille Lacs County,MN,64.7,59.6,49.8,24634
Morrison County,MN,55.5,51.7,61.3,31431
Mower County,MN,68.2,64.1,61,37396
Murray County,MN,60.8,56.4,63.4,7742
Nicollet County,MN,68.2,64.4,65.1,32353
Nobles County,MN,69.3,63.2,49.9,19773
Norman County,MN,69.9,62.2,55.8,6001
Olmsted County,MN,85.9,80,69.2,147583
Otter Tail County,MN,57.8,53,66.7,55307
Pennington County,MN,55.4,54.8,57.8,13222
Pine County,MN,54.6,50.6,61.9,28226
Pipestone County,MN,60.8,56.7,54.9,8477
Polk County,MN,68,60.3,47.3,29186
Pope County,MN,62.8,59.2,64.5,10625
Ramsey County,MN,81.5,74.8,63.8,512658
Red Lake County,MN,62,57.8,50.5,3810
Redwood County,MN,58.9,56.1,62,14192
Renville County,MN,59.4,56.3,59.2,13617
Rice County,MN,69.5,65.2,60.8,63094
Rock County,MN,64.7,56.9,54.3,8794
Roseau County,MN,57.4,53.1,52.9,14291
Scott County,MN,76.6,71.7,59.8,139139
Sherburne County,MN,51.5,47.8,63,90672
Sibley County,MN,53.4,50.3,63.5,14027
St. Louis County,MN,75.5,69.2,65.7,189132
Stearns County,MN,65.6,61,55.5,150596
Steele County,MN,66.2,62.6,64.1,34504
Stevens County,MN,63.8,60,58.6,9204
Swift County,MN,63.4,59.4,63.6,8674
Todd County,MN,46.8,44.1,64.1,23012
Traverse County,MN,72.8,66.6,55.8,3065
Unknown County,MN,,,37.7,
Wabasha County,MN,83,77.2,57.7,20423
Wadena County,MN,54.9,51,57.3,12753
Waseca County,MN,61.8,58.5,63,17546
Washington County,MN,78.9,73.2,67.4,247272
Watonwan County,MN,62.9,59.8,58.6,10104
Wilkin County,MN,69.6,58.5,42.6,5830
Winona County,MN,75,67.8,59.1,48103
Wright County,MN,59.8,56.6,58.2,128913
Yellow Medicine County,MN,61.5,58.2,57.5,9149
Adair County,MO,54.3,47.5,48.7,24036
Andrew County,MO,45.1,40.4,53.5,16689
Atchison County,MO,67.2,58.1,48.5,4893
Audrain County,MO,44.5,39.3,48.4,23812
Barry County,MO,54.5,46,39.6,33637
Barton County,MO,39.4,34.3,41.8,11066
Bates County,MO,45.5,40.1,46,15208
Benton County,MO,57,50,49,18555
Bollinger County,MO,38.3,34,40.4,11508
Boone County,MO,75.9,65,48.2,170075
Buchanan County,MO,46.2,40.1,45.2,81993
Butler County,MO,42.4,35.8,40.5,39886
Caldwell County,MO,45.7,40.3,47,8524
Callaway County,MO,56.1,49.8,49.1,42282
Camden County,MO,53.8,47.2,48.1,44243
Cape Girardeau County,MO,57.7,50.6,45.8,74284
Carroll County,MO,55.8,50.7,44.6,8233
Carter County,MO,41.1,34.1,41.7,5608
Cass County,MO,64.1,54.6,46.6,99513
Cedar County,MO,37,32.6,50.2,13380
Chariton County,MO,44.1,39.1,54.7,6989
Christian County,MO,53.9,47.5,44.5,83073
Clark County,MO,38.4,32.9,50.8,6404
Clay County,MO,65.2,56.5,52.9,234259
Clinton County,MO,58.7,49.5,46.2,19233
Cole County,MO,62.1,54.6,46.6,72306
Cooper County,MO,52.6,46.2,47.5,16693
Crawford County,MO,39.3,34.5,47.5,22564
Dade County,MO,49.9,44.6,44.4,7193
Dallas County,MO,41.6,36.1,46.3,15769
Daviess County,MO,38.9,34.7,49.3,7696
DeKalb County,MO,32.4,28.9,45.1,11984
Dent County,MO,42.6,35.6,42.9,14639
Douglas County,MO,27.9,24.7,44.5,12435
Dunklin County,MO,45.6,38.8,34.5,27150
Franklin County,MO,62.1,55.7,45.8,97786
Gasconade County,MO,57.1,51.8,43.6,13913
Gentry County,MO,51,45.5,45.5,6099
Greene County,MO,58.7,51.2,49.4,275954
Grundy County,MO,42.6,37,48,9145
Harrison County,MO,42,35.5,45.1,7854
Henry County,MO,54.1,47.6,47.5,20585
Hickory County,MO,44.6,39.3,55.5,9123
Holt County,MO,49.3,43.5,48.8,4179
Howard County,MO,51.2,44.5,48.6,9432
Howell County,MO,40,34.5,46.5,37567
Iron County,MO,44.8,40,41.6,9586
Jackson County,MO,74.1,60.3,44.9,657730
Jasper County,MO,56.7,49,38.8,113357
Jefferson County,MO,53.1,46.5,51.2,212068
Johnson County,MO,55,46.6,42.3,50669
Knox County,MO,44.8,41.1,55.1,3701
Laclede County,MO,44.7,38.9,41.9,33245
Lafayette County,MO,53.6,47.3,47.9,30768
Lawrence County,MO,44.8,39.2,42.9,35753
Lewis County,MO,43.7,35.4,42.2,9193
Lincoln County,MO,45.8,40.5,47.5,54832
Linn County,MO,55.2,48.1,43,11241
Livingston County,MO,49.5,44.1,47.6,14348
Macon County,MO,46.4,42.3,47.2,14242
Madison County,MO,47.4,41.3,45.5,11391
Maries County,MO,51.1,45.4,44.4,8301
Marion County,MO,48.4,43.3,45.4,26717
McDonald County,MO,45.5,34.9,32,21130
Mercer County,MO,43.7,37.5,46.2,3371
Miller County,MO,39.1,34.3,44.6,24020
Mississippi County,MO,49.9,44.2,40.1,12485
Moniteau County,MO,41.3,37,49.1,15090
Monroe County,MO,52.6,45.8,46.6,8183
Montgomery County,MO,56.6,50.1,43.4,10911
Morgan County,MO,43.2,38.1,43.3,19248
New Madrid County,MO,39.8,34.7,46,16004
Newton County,MO,31.3,26.9,58.6,54672
Nodaway County,MO,56.3,50.4,46,21122
Oregon County,MO,38.3,32.6,42.9,9915
Osage County,MO,44.7,40.6,50,12843
Ozark County,MO,40.6,33.1,46.4,8756
Pemiscot County,MO,42.2,32.8,32.3,14653
Perry County,MO,45,40.5,44.7,18011
Pettis County,MO,51.2,44.4,43.3,39456
Phelps County,MO,51.8,45.4,45.4,42073
Pike County,MO,43.4,38.4,42.4,17247
Platte County,MO,70.5,59.8,52.9,98098
Polk County,MO,45.8,40,48.6,30189
Pulaski County,MO,67.3,61,27.3,49157
Putnam County,MO,40.9,35.6,54.8,4407
Ralls County,MO,32.5,29.5,65.5,9789
Randolph County,MO,46,39.4,43.8,23317
Ray County,MO,46,41.1,52.1,21686
Reynolds County,MO,32.6,28.1,49.7,5961
Ripley County,MO,36,30.4,42.6,12527
Saline County,MO,54.5,47.9,41.1,21503
Schuyler County,MO,31.5,27.7,57.9,4260
Scotland County,MO,31.3,27.2,49.9,4510
Scott County,MO,50.9,44.6,35,35797
Shannon County,MO,34.5,31.4,48.3,7714
Shelby County,MO,52.7,48.2,49.3,5540
St. Charles County,MO,72.2,63.8,51.5,378963
St. Clair County,MO,40.7,35.4,51.7,8877
St. Francois County,MO,50.8,44.9,42.7,63566
St. Louis city,MO,77.2,62.9,49.2,282356
St. Louis County,MO,79,67.7,54,936131
Ste. Genevieve County,MO,50.6,46.1,53.3,16898
Stoddard County,MO,46.7,41,38.4,27391
Stone County,MO,44.3,38.8,54,30674
Sullivan County,MO,51,44.4,41.2,5696
Taney County,MO,49.3,41.8,40.8,52843
Texas County,MO,38.5,33.6,43.9,23968
Unknown County,MO,,,29.2,
Vernon County,MO,41.8,36.3,46.5,19299
Warren County,MO,47.8,43,50.5,33374
Washington County,MO,38.4,33,44.8,23309
Wayne County,MO,43.2,37.3,39.1,12223
Webster County,MO,49.1,43.4,39.5,36667
Worth County,MO,48.9,42.5,46.8,1911
Wright County,MO,42.4,36.6,43,16966
Unknown County,MP,,,52.7,
Adams County,MS,67.2,57,40.7,28944
Alcorn County,MS,46.6,40.6,41.5,34803
Amite County,MS,46.8,41.3,41,11649
Attala County,MS,63.8,56,40.3,17015
Benton County,MS,62,53.7,40.7,7791
Bolivar County,MS,69.9,60.9,41.6,28590
Calhoun County,MS,52.5,45.8,35.7,13551
Carroll County,MS,47.6,42.8,40.9,9525
Chickasaw County,MS,56.2,49.7,39.4,15918
Choctaw County,MS,43.1,37.3,37.8,7779
Claiborne County,MS,64.5,56.1,43.8,8444
Clarke County,MS,67,58.8,35.5,14604
Clay County,MS,55.3,48.4,39.8,18206
Coahoma County,MS,61.4,53.6,42.1,20373
Copiah County,MS,63.4,56.1,41.9,26401
Covington County,MS,62.3,58,36.2,17445
DeSoto County,MS,67.9,57.2,37.7,173812
Forrest County,MS,52.3,45.4,39.7,69893
Franklin County,MS,56.1,49.6,38.4,7290
George County,MS,47.6,41.2,31.3,22670
Greene County,MS,42.6,38,40.4,12888
Grenada County,MS,60.7,54.1,40.2,19480
Hancock County,MS,54.3,45.9,37.6,45288
Harrison County,MS,66.5,57.3,38.5,194633
Hinds County,MS,68.4,60.2,46.1,217152
Holmes County,MS,70,62.3,45.4,15906
Humphreys County,MS,70.9,60.7,43.3,7613
Issaquena County,MS,51.7,45.4,37.7,1291
Itawamba County,MS,40.4,35.7,38.9,22090
Jackson County,MS,57.4,49.1,38.2,135415
Jasper County,MS,60.6,52.7,40.4,15421
Jefferson County,MS,83.4,72.8,47.3,6555
Jefferson Davis County,MS,52,46.7,42.6,10504
Jones County,MS,51.6,44.7,39.5,63495
Kemper County,MS,55.3,48.1,37.9,9292
Lafayette County,MS,62.6,56.3,43.4,51273
Lamar County,MS,68.3,61.1,40.4,59245
Lauderdale County,MS,60.8,52.7,37.1,69458
Lawrence County,MS,65.1,57,42.2,11807
Leake County,MS,58.5,50.6,38.1,21322
Lee County,MS,50.5,44.8,42.1,79721
Leflore County,MS,72.8,63.8,41.5,25971
Lincoln County,MS,46.3,40.2,37.9,32099
Lowndes County,MS,59.6,52.7,41.5,54734
Madison County,MS,73.1,65.3,46.6,99691
Marion County,MS,53.8,47.6,39,23168
Marshall County,MS,67.3,57,38.9,33369
Monroe County,MS,57.9,51.9,40.9,33262
Montgomery County,MS,62.8,56.8,42.2,9190
Neshoba County,MS,52.5,43.8,40.7,26990
Newton County,MS,64,55.3,38.3,19614
Noxubee County,MS,62.4,56.7,44,9652
Oktibbeha County,MS,58.9,52.5,42.9,46969
Panola County,MS,55.9,49.3,37.5,31867
Pearl River County,MS,58.5,49.6,36.6,52326
Perry County,MS,43.9,38.9,35.6,11309
Pike County,MS,60.1,52.1,42.4,36668
Pontotoc County,MS,48,42.7,41.7,29893
Prentiss County,MS,49.2,43.8,38.4,23610
Quitman County,MS,63.6,55.5,41,6372
Rankin County,MS,58.7,52.6,42.9,146473
Scott County,MS,60.1,52.2,38.2,25869
Sharkey County,MS,64.8,57.4,49.2,4046
Simpson County,MS,53.2,46.6,40.6,25161
Smith County,MS,40.3,35.2,38.1,14983
Stone County,MS,54.7,47.3,40.1,17306
Sunflower County,MS,61.6,54.6,41.5,23732
Tallahatchie County,MS,48.5,42.6,39.2,13023
Tate County,MS,52.8,46.3,37.7,26636
Tippah County,MS,49.8,43.2,39.9,20656
Tishomingo County,MS,46.2,39.7,41.1,18309
Tunica County,MS,62.1,53.7,37.9,8804
Union County,MS,45,40.3,40.2,26926
Unknown County,MS,,,38.7,
Walthall County,MS,48.4,42.6,39.8,13466
Warren County,MS,67.5,59.3,44.1,42468
Washington County,MS,60.9,52.5,40.9,40901
Wayne County,MS,46.2,40.1,37.3,18842
Webster County,MS,54.8,49.2,42.4,9122
Wilkinson County,MS,77.2,67.8,41.4,8175
Winston County,MS,56.3,49.5,39.5,16982
Yalobusha County,MS,75.3,67.1,41.6,11352
Yazoo County,MS,57.7,51,41.3,28133
Beaverhead County,MT,60.4,55.3,54.1,9044
Big Horn County,MT,95,92.8,37.7,12105
Blaine County,MT,95,88.3,47.8,6151
Broadwater County,MT,43.2,35,51.3,5917
Carbon County,MT,54,48.7,54.9,10336
Carter County,MT,36.5,32.2,48.9,1156
Cascade County,MT,64,56.5,47.2,76096
Chouteau County,MT,37.6,34.4,68.1,5368
Custer County,MT,50.2,45.3,49.9,10741
Daniels County,MT,45.5,42.5,51.7,1609
Dawson County,MT,42.3,38.6,52.2,8132
Deer Lodge County,MT,64.8,59.6,61,8822
Fallon County,MT,37.9,35.1,49.3,2653
Fergus County,MT,53.1,48.5,56.2,10458
Flathead County,MT,51.9,44.5,52.3,97971
Gallatin County,MT,72.5,61.4,52.7,108181
Garfield County,MT,22.4,20,40.6,1180
Glacier County,MT,95,89,37.4,12517
Golden Valley County,MT,54.3,47.9,44.3,771
Granite County,MT,43.3,38.2,54.7,3261
Hill County,MT,82.9,73.6,57.7,14992
Jefferson County,MT,59.6,52.5,56.3,11652
Judith Basin County,MT,44.6,41,51.5,1910
Lake County,MT,66.9,59,54.9,28700
Lewis and Clark County,MT,71.3,62.4,56.2,65417
Liberty County,MT,35,34.7,57.8,2220
Lincoln County,MT,41.6,36.6,56.8,19147
Madison County,MT,52.6,46.3,55.4,8298
McCone County,MT,18.9,18.3,77,1571
Meagher County,MT,55.1,51.9,55,1775
Mineral County,MT,64.2,56.1,53.2,4180
Missoula County,MT,73.6,66.8,56.7,113585
Musselshell County,MT,39.4,35.7,48,4414
Park County,MT,73.1,61.2,55.9,15883
Petroleum County,MT,33.9,31.8,56.1,473
Phillips County,MT,51.3,45.9,52.8,3696
Pondera County,MT,65.6,56.5,48.1,5460
Powder River County,MT,26.3,23.5,49.9,1592
Powell County,MT,50.6,46.6,52.2,6607
Prairie County,MT,42.3,38.6,57.9,1013
Ravalli County,MT,56.5,50.5,56.7,41802
Richland County,MT,44.1,41,46.2,10110
Roosevelt County,MT,95,87.3,44.3,9924
Rosebud County,MT,95,87.1,47,8207
Sanders County,MT,43.5,39.9,53.6,11548
Sheridan County,MT,52.2,49.5,60,3115
Silver Bow County,MT,68.6,63.1,55.7,32970
Stillwater County,MT,47.9,43.4,52.4,9223
Sweet Grass County,MT,45.3,41.8,53.7,3550
Teton County,MT,49,43.3,53.4,5716
Toole County,MT,51.1,47.4,42.6,4418
Treasure County,MT,54.2,49.4,46.8,640
Unknown County,MT,,,34.4,
Valley County,MT,52.6,48.7,53.1,6960
Wheatland County,MT,41,36.6,52.5,2018
Wibaux County,MT,31.3,29.1,50,914
Yellowstone County,MT,60.1,53.3,50.2,151453
Alamance County,NC,87.6,64.5,28,159560
Alexander County,NC,60.6,48.8,38.4,35620
Alleghany County,NC,86.2,64.9,35.1,10626
Anson County,NC,60.5,48.4,36,23143
Ashe County,NC,82.1,59,36.2,26129
Avery County,NC,76.3,58.5,38.7,16905
Beaufort County,NC,74.8,58.5,40,44735
Bertie County,NC,70.3,54.4,36,18126
Bladen County,NC,84.4,65.4,28,31131
Brunswick County,NC,95,70.8,33.6,137478
Buncombe County,NC,95,74.6,36.5,248550
Burke County,NC,65.7,51,29.6,86176
Cabarrus County,NC,85.7,62,26.6,202607
Caldwell County,NC,64.1,50.1,32.5,78015
Camden County,NC,89.7,65.7,27.4,10327
Carteret County,NC,95,70.7,26.4,66672
Caswell County,NC,63.2,52.1,43.4,21496
Catawba County,NC,81,60.6,24.6,150636
Chatham County,NC,95,70.9,29.1,70897
Cherokee County,NC,73.1,60.9,40,27420
Chowan County,NC,79.5,60.8,37,13243
Clay County,NC,72.2,58.6,38.6,10740
Cleveland County,NC,70.7,53.5,30.4,92365
Columbus County,NC,59.6,46.9,30.8,52603
Craven County,NC,86.9,66.6,32.5,95778
Cumberland County,NC,87.3,64.4,24.3,310252
Currituck County,NC,86.4,64.1,30.4,26216
Dare County,NC,95,82.7,31.2,35367
Davidson County,NC,66.6,51.2,32.3,158409
Davie County,NC,82,62.6,33.1,40760
Duplin County,NC,62.6,47.3,27.3,55126
Durham County,NC,95,79.8,35.7,301307
Edgecombe County,NC,64.6,51.2,34.5,48532
Forsyth County,NC,95,69.5,28,359934
Franklin County,NC,80.6,57,28.9,65799
Gaston County,NC,73.4,54.7,27.8,211171
Gates County,NC,69.2,55.7,39.8,11027
Graham County,NC,66.3,52.7,32.7,8040
Granville County,NC,88.5,67.1,32.6,57336
Greene County,NC,81,65.8,37.2,20022
Guilford County,NC,95,69.3,23.7,505896
Halifax County,NC,70,56.5,40.6,47245
Harnett County,NC,60.3,44.9,26.8,126086
Haywood County,NC,81.9,63,38.3,59266
Henderson County,NC,84.2,64.2,39.6,111764
Hertford County,NC,66.1,50.7,37.4,22610
Hoke County,NC,59.7,43.2,27.3,50664
Hyde County,NC,77.6,68.9,52.8,4753
Iredell County,NC,79,57.9,25.4,171884
Jackson County,NC,80,59.5,32.8,42001
Johnston County,NC,76.1,56.6,28.7,196283
Jones County,NC,76.2,58.3,38.2,8956
Lee County,NC,86,61.8,27.6,57893
Lenoir County,NC,77.4,58.7,32,52801
Lincoln County,NC,69.4,52.8,26.1,81663
Macon County,NC,77.4,62,37.8,34121
Madison County,NC,73.3,59.8,42.4,20741
Martin County,NC,69.8,54.9,29.9,21211
McDowell County,NC,71.1,56.4,33,43474
Mecklenburg County,NC,95,69.4,27.1,1037049
Mitchell County,NC,67.5,53.2,39.1,14242
Montgomery County,NC,59.5,45.6,28.8,25757
Moore County,NC,90.7,66.3,31.8,94937
Nash County,NC,81.7,62.4,31.3,89023
New Hanover County,NC,95,69.8,30.4,223363
Northampton County,NC,62,50.1,38.9,18570
Onslow County,NC,81.8,63.4,21,180787
Orange County,NC,95,90.7,36.4,142010
Pamlico County,NC,77.3,60.3,40.5,12261
Pasquotank County,NC,80.2,57.9,29.8,37393
Pender County,NC,75.2,55.7,28.1,59482
Perquimans County,NC,67.2,51.6,33.8,12861
Person County,NC,80.7,61,33.7,37405
Pitt County,NC,78.5,58.7,26,170444
Polk County,NC,59.5,46.5,27.4,19940
Randolph County,NC,61.3,47.2,27.8,135556
Richmond County,NC,63.9,50.4,34,42075
Robeson County,NC,58.6,44.3,31,122048
Rockingham County,NC,72.1,54.7,28.9,86406
Rowan County,NC,62.9,48,27,133830
Rutherford County,NC,57.1,44.5,35.9,63605
Sampson County,NC,70.9,54.5,31.4,59389
Scotland County,NC,66,51.2,33.6,32530
Stanly County,NC,62.7,46.5,27.4,59178
