Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Booster_Doses_Vax_Pct,Census2019_5PlusPop
Santa Barbara County,CA,81.5,73.4,57.2,419143
Santa Clara County,CA,95,89.1,68.8,1815986
Santa Cruz County,CA,88.6,80.8,63.2,259767
Shasta County,CA,58,51.3,50.7,169600
Sierra County,CA,,,,2867
Siskiyou County,CA,61.9,55.5,51.2,41361
Solano County,CA,80.6,71,58.1,420851
Sonoma County,CA,87.6,80.6,65.8,470488
Stanislaus County,CA,61.7,46.5,41.7,511523
Sutter County,CA,68.6,62.7,49.1,90267
Tehama County,CA,50.1,44.4,50.6,61110
Trinity County,CA,,,,11717
Tulare County,CA,62.4,55.8,46.8,429810
Tuolumne County,CA,62.5,52.2,54.4,52070
Unknown County,CA,,,31.3,
Ventura County,CA,81.1,74,56.9,797613
Yolo County,CA,80.5,73.2,64,208725
Yuba County,CA,62.5,56.9,45.8,72553
Adams County,CO,77.3,71,52.5,481692
Alamosa County,CO,65.2,58.2,52.1,15204
Arapahoe County,CO,77.6,71,58.8,616582
Archuleta County,CO,66.4,59.5,59.1,13418
Baca County,CO,42.3,40.4,55.7,3387
Bent County,CO,28.7,27.5,60.4,5377
Boulder County,CO,90.2,82,68,312035
Broomfield County,CO,88.7,83.3,66.4,66918
Chaffee County,CO,71.8,66,66.6,19603
Cheyenne County,CO,35,34.4,47.1,1722
Clear Creek County,CO,56.9,50.7,58.2,9321
Conejos County,CO,55.8,51.1,57.4,7701
Costilla County,CO,65.6,61.9,61.6,3699
Crowley County,CO,23.7,22.3,51.5,5917
Custer County,CO,56.2,51.2,64.9,4890
Delta County,CO,54.2,49.1,57.2,29716
Denver County,CO,88,79.4,60.5,684897
Dolores County,CO,50.3,43.2,51.2,1981
Douglas County,CO,83.8,76.4,60.6,331127
Eagle County,CO,95,85.3,49.8,52122
El Paso County,CO,78.1,67.7,48.5,672877
Elbert County,CO,42.6,38.9,57.6,25552
Fremont County,CO,53.7,48,54.4,45865
Garfield County,CO,73.6,66.6,52.9,56004
Gilpin County,CO,67.3,59.8,62.1,6032
Grand County,CO,75.9,65,57.1,15136
Gunnison County,CO,79.9,71.5,58.9,16752
Hinsdale County,CO,71.7,68.9,62.1,793
Huerfano County,CO,62.1,55.9,59.8,6636
Jackson County,CO,50.1,47.4,58.6,1328
Jefferson County,CO,87.8,80.5,62,553262
Kiowa County,CO,39.5,38.2,55.7,1292
Kit Carson County,CO,43.1,40,47.2,6663
La Plata County,CO,82,73.1,62.3,53527
Lake County,CO,70.7,61.9,51.4,7670
Larimer County,CO,78.6,70.8,62.4,339418
Las Animas County,CO,68.5,63.2,54.9,13840
Lincoln County,CO,38.7,37,55.3,5383
Logan County,CO,41.7,39.3,49.2,21277
Mesa County,CO,57.1,51.7,58.6,145663
Mineral County,CO,93.9,87.4,65.6,738
Moffat County,CO,50.3,44.9,46.7,12374
Montezuma County,CO,84.3,71.9,55.6,24782
Montrose County,CO,56.8,51.1,56.4,40492
Morgan County,CO,55.5,49.7,46.8,26903
Otero County,CO,54.3,50.6,55,17196
Ouray County,CO,77.1,69.3,66.9,4808
Park County,CO,53.5,49.1,58.3,18146
Phillips County,CO,59.8,53.6,49.1,4008
Pitkin County,CO,95,86.6,55.1,17092
Prowers County,CO,48.4,44.2,47.5,11295
Pueblo County,CO,64.6,58.7,54.9,158872
Rio Blanco County,CO,45.7,39.7,47.2,5947
Rio Grande County,CO,72.4,65.5,57.1,10635
Routt County,CO,88.1,78.6,62,24519
Saguache County,CO,40.5,36.9,62.8,6449
San Juan County,CO,95,95,59.5,701
San Miguel County,CO,95,86.3,58.9,7845
Sedgwick County,CO,58.4,54,55.6,2150
Summit County,CO,95,87.5,54.2,29576
Teller County,CO,58.7,55.8,57.2,24390
Unknown County,CO,,,27.3,
Washington County,CO,35.8,32.3,50.4,4627
Weld County,CO,68.1,63.3,52,301440
Yuma County,CO,50.6,45.2,47.3,9271
Fairfield County,CT,95,85.6,51,892133
Hartford County,CT,92.8,78.8,56.9,843985
Litchfield County,CT,91.9,78.1,57.2,172886
Middlesex County,CT,95,86.5,60.9,155818
New Haven County,CT,95,81.6,54.1,810962
New London County,CT,95,82.1,56,252237
Tolland County,CT,80.9,69.2,61.8,144561
Unknown County,CT,,,58.7,
Windham County,CT,77.8,66.2,53.4,110995
District of Columbia,DC,95,80.7,48,660381
Unknown County,DC,,,46.6,
Kent County,DE,67.8,58.3,48.2,169627
New Castle County,DE,87.4,72,48.6,526868
Sussex County,DE,84.7,71.5,53.4,222550
Unknown County,DE,,,45.6,
Alachua County,FL,78.9,68.7,49,255225
Baker County,FL,45.3,37.4,31.3,27400
Bay County,FL,64.9,55.2,37.1,164708
Bradford County,FL,54.4,46.8,34.2,26719
Brevard County,FL,78.3,66.7,45.9,574545
Broward County,FL,87.6,73.2,42.3,1840726
Calhoun County,FL,42.3,35.5,36.2,13427
Charlotte County,FL,81.2,67.6,50.4,183402
Citrus County,FL,65.8,57.9,51.1,144147
Clay County,FL,66.4,55.8,40.7,207368
Collier County,FL,85.5,72.7,44.6,368238
Columbia County,FL,50.3,43.2,37.1,67547
DeSoto County,FL,60.4,48.6,35.7,36126
Dixie County,FL,44.8,35.4,38.9,16055
Duval County,FL,72.8,62.8,42.5,893184
Escambia County,FL,67.8,57.5,41,299304
Flagler County,FL,74.9,65.5,50.3,110662
Franklin County,FL,55.5,49.5,45.6,11613
Gadsden County,FL,67.5,59.5,45,42929
Gilchrist County,FL,43.5,37.5,40.5,17593
Glades County,FL,42,34.9,43.8,13407
Gulf County,FL,61.4,53.8,40.9,12994
Hamilton County,FL,42.3,35.9,38.6,13642
Hardee County,FL,50.9,43.8,31.6,25124
Hendry County,FL,63.7,51.5,30,38969
Hernando County,FL,63.6,56.4,46.7,185142
Highlands County,FL,66.4,54,45,101611
Hillsborough County,FL,77.1,65.1,41.9,1383017
Holmes County,FL,36.4,30.3,33.4,18524
Indian River County,FL,82.3,69.4,49.5,153472
Jackson County,FL,53,44.5,39.3,43987
Jefferson County,FL,72.9,60.8,41.7,13641
Lafayette County,FL,45.1,40.3,35.6,8085
Lake County,FL,77.6,67.9,46.2,349339
Lee County,FL,74.9,64.1,46.1,735464
Leon County,FL,67.5,58.6,49.3,278331
Levy County,FL,56.4,48.4,42.8,39373
Liberty County,FL,39.5,34.6,35.4,7988
Madison County,FL,56.6,48.1,42.8,17613
Manatee County,FL,74.1,63.9,47.6,384878
Marion County,FL,66.2,58.5,49.1,347606
Martin County,FL,75.7,65.4,48.5,154394
Miami-Dade County,FL,95,87.6,35.9,2559711
Monroe County,FL,95,80.8,41.8,70910
Nassau County,FL,68.5,59.7,45.7,84135
Okaloosa County,FL,79.1,66.1,36.3,197136
Okeechobee County,FL,55.7,47.6,35.9,39604
Orange County,FL,86,71.6,40.2,1309432
Osceola County,FL,92.8,75.5,35.9,352569
Palm Beach County,FL,79.3,68.3,46.3,1420467
Pasco County,FL,69.9,60.9,45.9,525422
Pinellas County,FL,76.1,66.7,49.4,933769
Polk County,FL,68.7,59.1,41.8,683219
Putnam County,FL,50.9,43.1,41.2,70262
Santa Rosa County,FL,67.2,55.7,38.9,174055
Sarasota County,FL,85.1,72.2,53,418704
Seminole County,FL,71,63.7,50,447183
St. Johns County,FL,80.6,72.3,49.7,251781
St. Lucie County,FL,69.8,60.3,45.1,311848
Sumter County,FL,93.2,83,60.6,129885
Suwannee County,FL,46.5,39.4,39.8,42038
Taylor County,FL,49.3,41.7,36.4,20404
Union County,FL,52.3,36.7,32,14442
Unknown County,FL,,,60,
Volusia County,FL,69.9,61.2,47.1,527440
Wakulla County,FL,55,45.9,42.5,31980
Walton County,FL,60.8,50.9,42.9,69930
Washington County,FL,40.3,33.3,38.2,24150
Unknown County,FM,,,53.1,
Appling County,GA,42,36.8,37.3,17209
Atkinson County,GA,48.6,40.8,30.6,7592
Bacon County,GA,35.9,31.4,33.8,10398
Baker County,GA,64,52.7,39.4,2863
Baldwin County,GA,51.2,45.6,45.1,42777
Banks County,GA,35.6,31.3,40.6,18121
Barrow County,GA,46.6,41.3,41.4,77679
Bartow County,GA,43.5,38.3,40.5,100970
