County name,State,Urban Rural Code,Deaths involving COVID-19
Teller County,CO,Medium metro,32
Washington County,CO,Noncore,
Weld County,CO,Medium metro,638
Yuma County,CO,Noncore,20
Fairfield County,CT,Medium metro,2990
Hartford County,CT,Large central metro,3616
Litchfield County,CT,Micropolitan,351
Middlesex County,CT,Large fringe metro,530
New Haven County,CT,Medium metro,3171
New London County,CT,Medium metro,709
Tolland County,CT,Large fringe metro,137
Windham County,CT,Medium metro,227
District of Columbia,DC,Large central metro,2108
Kent County,DE,Small metro,618
New Castle County,DE,Large fringe metro,1625
Sussex County,DE,Medium metro,929
Alachua County,FL,Medium metro,1589
Baker County,FL,Large fringe metro,25
Bay County,FL,Small metro,909
Bradford County,FL,Noncore,30
Brevard County,FL,Medium metro,2237
Broward County,FL,Large fringe metro,6046
Calhoun County,FL,Noncore,32
Charlotte County,FL,Small metro,787
Citrus County,FL,Small metro,876
Clay County,FL,Large fringe metro,956
Collier County,FL,Medium metro,1261
Columbia County,FL,Micropolitan,472
DeSoto County,FL,Micropolitan,66
Dixie County,FL,Noncore,11
Duval County,FL,Large central metro,4093
Escambia County,FL,Medium metro,1778
Flagler County,FL,Medium metro,385
Franklin County,FL,Noncore,11
Gadsden County,FL,Medium metro,53
Gilchrist County,FL,Medium metro,17
Glades County,FL,Noncore,
Gulf County,FL,Small metro,13
Hamilton County,FL,Noncore,
Hardee County,FL,Micropolitan,22
Hendry County,FL,Micropolitan,50
Hernando County,FL,Large fringe metro,1103
Highlands County,FL,Small metro,742
Hillsborough County,FL,Large central metro,4128
Holmes County,FL,Noncore,59
Indian River County,FL,Small metro,602
Jackson County,FL,Noncore,178
Jefferson County,FL,Medium metro,17
Lafayette County,FL,Noncore,16
Lake County,FL,Large fringe metro,1505
Lee County,FL,Medium metro,2209
Leon County,FL,Medium metro,1324
Levy County,FL,Noncore,71
Liberty County,FL,Noncore,
Madison County,FL,Noncore,29
Manatee County,FL,Medium metro,1473
Marion County,FL,Medium metro,2173
Martin County,FL,Medium metro,772
Miami-Dade County,FL,Large central metro,10445
Monroe County,FL,Micropolitan,53
Nassau County,FL,Large fringe metro,134
Okaloosa County,FL,Small metro,691
Okeechobee County,FL,Micropolitan,141
Orange County,FL,Large central metro,3578
Osceola County,FL,Large fringe metro,1275
Palm Beach County,FL,Large fringe metro,5718
Pasco County,FL,Large fringe metro,1968
Pinellas County,FL,Large central metro,3455
Polk County,FL,Medium metro,2758
Putnam County,FL,Micropolitan,318
St. Johns County,FL,Large fringe metro,352
St. Lucie County,FL,Medium metro,983
Santa Rosa County,FL,Medium metro,338
Sarasota County,FL,Medium metro,2086
Seminole County,FL,Large fringe metro,979
Sumter County,FL,Small metro,658
Suwannee County,FL,Noncore,55
Taylor County,FL,Noncore,35
Union County,FL,Noncore,34
Volusia County,FL,Medium metro,2074
Wakulla County,FL,Medium metro,25
Walton County,FL,Small metro,212
Washington County,FL,Noncore,80
Appling County,GA,Noncore,68
Atkinson County,GA,Noncore,
Bacon County,GA,Noncore,87
Baker County,GA,Small metro,
Baldwin County,GA,Micropolitan,221
Banks County,GA,Noncore,11
Barrow County,GA,Large fringe metro,84
Bartow County,GA,Large fringe metro,350
Ben Hill County,GA,Micropolitan,94
Berrien County,GA,Noncore,25
Bibb County,GA,Small metro,1191
Bleckley County,GA,Noncore,38
Brantley County,GA,Small metro,20
Brooks County,GA,Small metro,18
Bryan County,GA,Medium metro,15
Bulloch County,GA,Micropolitan,282
Burke County,GA,Medium metro,40
Butts County,GA,Large fringe metro,52
Calhoun County,GA,Noncore,
Camden County,GA,Micropolitan,77
Candler County,GA,Noncore,81
Carroll County,GA,Large fringe metro,657
Catoosa County,GA,Medium metro,114
Charlton County,GA,Noncore,12
Chatham County,GA,Medium metro,1430
Chattahoochee County,GA,Medium metro,
Chattooga County,GA,Micropolitan,19
Cherokee County,GA,Large fringe metro,455
Clarke County,GA,Small metro,780
Clay County,GA,Noncore,
Clayton County,GA,Large fringe metro,401
Clinch County,GA,Noncore,16
Cobb County,GA,Large fringe metro,1932
Coffee County,GA,Micropolitan,269
Colquitt County,GA,Micropolitan,241
Columbia County,GA,Medium metro,73
Cook County,GA,Noncore,20
Coweta County,GA,Large fringe metro,477
Crawford County,GA,Small metro,
Crisp County,GA,Micropolitan,156
Dade County,GA,Medium metro,17
Dawson County,GA,Large fringe metro,15
Decatur County,GA,Micropolitan,90
DeKalb County,GA,Large fringe metro,1269
Dodge County,GA,Noncore,139
Dooly County,GA,Noncore,
Dougherty County,GA,Small metro,737
Douglas County,GA,Large fringe metro,238
Early County,GA,Noncore,24
Echols County,GA,Small metro,
Effingham County,GA,Medium metro,64
Elbert County,GA,Noncore,44
Emanuel County,GA,Noncore,117
Evans County,GA,Noncore,34
Fannin County,GA,Noncore,107
Fayette County,GA,Large fringe metro,538
Floyd County,GA,Small metro,909
Forsyth County,GA,Large fringe metro,551
Franklin County,GA,Noncore,74
Fulton County,GA,Large central metro,3028
Gilmer County,GA,Noncore,61
Glascock County,GA,Noncore,13
Glynn County,GA,Small metro,535
Gordon County,GA,Micropolitan,286
Grady County,GA,Noncore,64
Greene County,GA,Noncore,34
Gwinnett County,GA,Large fringe metro,1457
Habersham County,GA,Micropolitan,136
Hall County,GA,Small metro,1645
Hancock County,GA,Micropolitan,16
Haralson County,GA,Large fringe metro,40
Harris County,GA,Medium metro,12
Hart County,GA,Noncore,19
Heard County,GA,Large fringe metro,11
Henry County,GA,Large fringe metro,780
Houston County,GA,Small metro,490
Irwin County,GA,Noncore,31
Jackson County,GA,Micropolitan,44
Jasper County,GA,Large fringe metro,25
Jeff Davis County,GA,Noncore,55
Jefferson County,GA,Noncore,41
Jenkins County,GA,Noncore,28
Johnson County,GA,Micropolitan,23
Jones County,GA,Small metro,14
Lamar County,GA,Large fringe metro,34
Laurens County,GA,Micropolitan,372
Lee County,GA,Small metro,10
Liberty County,GA,Small metro,73
Lincoln County,GA,Medium metro,
Long County,GA,Small metro,
Lowndes County,GA,Small metro,585
Lumpkin County,GA,Noncore,44
McDuffie County,GA,Medium metro,36
McIntosh County,GA,Small metro,
Macon County,GA,Noncore,10
Madison County,GA,Small metro,12
Marion County,GA,Medium metro,12
Meriwether County,GA,Large fringe metro,43
Miller County,GA,Noncore,28
Mitchell County,GA,Noncore,29
Monroe County,GA,Small metro,76
Montgomery County,GA,Micropolitan,
Morgan County,GA,Large fringe metro,15
Murray County,GA,Small metro,55
Muscogee County,GA,Medium metro,1304
Newton County,GA,Large fringe metro,320
Oconee County,GA,Small metro,68
Oglethorpe County,GA,Small metro,
Paulding County,GA,Large fringe metro,274
Peach County,GA,Small metro,56
Pickens County,GA,Large fringe metro,214
Pierce County,GA,Micropolitan,18
Pike County,GA,Large fringe metro,19
Polk County,GA,Micropolitan,34
Pulaski County,GA,Small metro,93
Putnam County,GA,Noncore,49
Quitman County,GA,Noncore,
Rabun County,GA,Noncore,43
Randolph County,GA,Noncore,10
Richmond County,GA,Medium metro,1985
Rockdale County,GA,Large fringe metro,310
Schley County,GA,Micropolitan,
Screven County,GA,Noncore,25
Seminole County,GA,Noncore,14
Spalding County,GA,Large fringe metro,502
Stephens County,GA,Micropolitan,92
Stewart County,GA,Noncore,
Sumter County,GA,Micropolitan,160
Talbot County,GA,Noncore,
Tattnall County,GA,Noncore,43
Taylor County,GA,Noncore,
Telfair County,GA,Noncore,13
Terrell County,GA,Small metro,12
Thomas County,GA,Micropolitan,322
Tift County,GA,Micropolitan,383
Toombs County,GA,Micropolitan,277
Towns County,GA,Noncore,50
Treutlen County,GA,Noncore,20
Troup County,GA,Micropolitan,447
Turner County,GA,Noncore,15
Twiggs County,GA,Small metro,12
Union County,GA,Noncore,161
Upson County,GA,Micropolitan,328
Walker County,GA,Medium metro,107
Walton County,GA,Large fringe metro,360
Ware County,GA,Micropolitan,349
Warren County,GA,Noncore,
Washington County,GA,Noncore,73
Wayne County,GA,Micropolitan,179
Webster County,GA,Noncore,
Wheeler County,GA,Noncore,
White County,GA,Noncore,41
Whitfield County,GA,Small metro,446
Wilcox County,GA,Noncore,14
Wilkes County,GA,Noncore,22
Wilkinson County,GA,Noncore,10
Worth County,GA,Small metro,32
Hawaii County,HI,Micropolitan,213
Honolulu County,HI,Medium metro,1268
